scenario,year,trucks_ICE,trucks_EV,cars_ICE,cars_EV,scooters_ICE,scooters_EV,trucks_light_ICE,trucks_light_EV,bus_ICE,bus_EV,p05,median,p95
Optimistic,2033,4.251512992263717,0.09709255727417794,11.767100559714162,0.5480360788054877,3.653492601141642,0.1450631174503028,2.9880496274372583,0.09936685707586027,0.7283790893231422,0.2286816238321254,22.9626538175625,24.507752126697206,26.061907671373827
Optimistic,2034,4.108095132661057,0.10909418632731421,11.045931731935745,0.6118252638818541,3.423498704342871,0.1591341396639256,2.9025132380184706,0.11123298625901261,0.6398964582627445,0.23659745251363476,21.896952258252902,23.348736802727437,24.810012449226306
Optimistic,2035,3.962232335040478,0.11980613406962397,10.295875219057152,0.670845186751051,3.178277830419442,0.17296517106912673,2.8123165422592913,0.12186671336753503,0.5533960237018803,0.2406978155791038,20.773046993676434,22.128731975031187,23.496642556284286
Optimistic,2036,3.8501155137755303,0.13087814377067256,9.67405500953205,0.7332801199515702,2.920485589469012,0.18565802759959904,2.746366011513599,0.13431655403271314,0.47051843000457827,0.2445908428158095,19.817947710235746,21.09036971695403,22.374622660345565
Optimistic,2037,3.73452738816906,0.14038048222572994,8.994854896201824,0.7905873068220738,2.6503143395670636,0.1967466245506641,2.6687041205953927,0.14669101800339024,0.3890804394335087,0.24517497799457308,18.77306431026367,19.956937291787362,21.150361615444528
Optimistic,2038,3.6155938795265046,0.14798510201776877,8.259956078866846,0.839946992155431,2.3679564387890824,0.2057648772176436,2.5797033153251174,0.1582015350155539,0.30908205198867145,0.24253190708606395,17.638770011312648,18.72612931384902,19.82246224592484
Optimistic,2039,3.493440909153302,0.15337587747698211,7.471039757327482,0.8786410740161902,2.0736042452105528,0.21224670089585926,2.4797360415232155,0.16809019127177122,0.2305232676700666,0.2367433160609516,16.41126044822785,17.39755041197269,18.39234923459823
Optimistic,2040,3.36819439835489,0.15624860468078347,6.629787131384109,0.9040531037405788,1.7674501169069572,0.21572601088063273,2.369174745010128,0.17562972944118851,0.15340408647769416,0.22789089088990544,15.089975141041474,15.96697988539054,16.8553407550885
Optimistic,2041,3.263271498049736,0.16207441929040514,5.8550683239103005,0.9317383128382083,1.5495066362901124,0.2217691982697057,2.2265454694232796,0.18512106208060408,0.10137314846119963,0.22063246168934,13.936023589939676,14.715948769416302,15.503202433117146
Optimistic,2042,3.1568557539861932,0.16582504925991565,5.123777872994997,0.9409664278130434,1.3444974551562856,0.22379833902971447,2.0834833791142815,0.19155092175268748,0.060286143562361894,0.2101783343845577,12.810284472879124,13.499643114347432,14.193607863299643
Optimistic,2043,3.049016467169657,0.1674138847344724,4.435142202020011,0.9331362835603391,1.1522729616689897,0.22205133056200518,1.9400652428601852,0.1948948295722801,0.029874199024001995,0.19704546593275324,11.71753358703104,12.31983496670363,12.926622645104697
Optimistic,2044,2.939822938605524,0.16675901004720126,3.788387734367156,0.9096133599955818,0.9726835439917363,0.21676607026792422,1.7963678294380407,0.19513287899653997,0.009868442088941021,0.18173545489030918,10.655985146128376,11.176764961391775,11.701298328922528
Optimistic,2045,2.829344469299186,0.1637832037191957,3.18274089341824,0.8717297820544883,0.8055795902880387,0.20818045554881767,1.6524679076249,0.19224973582494143,0.0,0.16473454141279573,9.626418704044841,10.070160809573014,10.517419567496354
Optimistic,2046,2.7195111735777626,0.1584139384595175,2.619108685073328,0.8207843196930054,0.6508114887214081,0.1965323838060318,1.5097645806793711,0.1862346381992754,0.0,0.14651360725497067,8.633675920472694,9.008282735534618,9.384643234459254
Optimistic,2047,2.608408041931524,0.1505833811651964,2.109671966767775,0.7568990358693807,0.5136281212219546,0.18175199627885386,1.3667834990054608,0.17708139660364947,0.0,0.12859984111339134,7.683182292833513,7.993962299708219,8.30822090852011
Optimistic,2048,2.49609887301566,0.1402283929212302,1.6533593455899724,0.6817760925417335,0.3938050700349467,0.16419613906930325,1.2235946042747057,0.16478839386448757,0.0,0.11099324298805778,6.775288582743758,7.029074791888249,7.285328012917221
Optimistic,2049,2.3826474654853684,0.12729052900058474,1.2490994286283088,0.5970676191985295,0.2911179174056526,0.14422165827939917,1.0802678381586406,0.14935858515053024,0.0,0.09369381287896984,5.910473754527226,6.115096615677141,6.322007209998322
Optimistic,2050,2.2681176179958404,0.11171603886419394,0.8958208229711747,0.5043757128585783,0.2053422455793409,0.12218540001116109,0.9368731423288015,0.1307994979728345,0.0,0.07670155078612759,5.088567359167993,5.252364078095062,5.417528720519983
