figure,scenario,year,label,cost_ntd_per_tco2
A,Reference,2035,Buses,16847.928695832117
A,Reference,2036,Buses,16040.68356498917
A,Reference,2037,Buses,15291.794554544222
A,Reference,2038,Buses,14595.151268497648
A,Reference,2039,Buses,13945.467621324306
A,Reference,2040,Buses,13338.147370586792
A,Reference,2041,Buses,13004.802347743598
A,Reference,2042,Buses,12684.330776030418
A,Reference,2043,Buses,12375.999481351062
A,Reference,2044,Buses,12079.12992586065
A,Reference,2045,Buses,11793.093211667796
A,Reference,2046,Buses,11542.143454890487
A,Reference,2047,Buses,11299.761410840048
A,Reference,2048,Buses,11065.513939753133
A,Reference,2049,Buses,10838.996611856357
A,Reference,2050,Buses,10619.831367390843
A,Reference,2025,Light Trucks,34619.99756962016
A,Reference,2026,Light Trucks,32283.757790803877
A,Reference,2027,Light Trucks,30112.058001716672
A,Reference,2028,Light Trucks,28087.36906890664
A,Reference,2029,Light Trucks,26194.556418432097
A,Reference,2030,Light Trucks,24420.484491037234
A,Reference,2031,Light Trucks,23451.25685303911
A,Reference,2032,Light Trucks,22535.32229260017
A,Reference,2033,Light Trucks,21668.40018331951
A,Reference,2034,Light Trucks,20846.656383941314
A,Reference,2035,Light Trucks,20066.646505162636
A,Reference,2036,Light Trucks,19386.324612365646
A,Reference,2037,Light Trucks,18740.782361534388
A,Reference,2038,Light Trucks,18127.416800465537
A,Reference,2039,Light Trucks,17543.878398102515
A,Reference,2040,Light Trucks,16988.040936287096
A,Reference,2041,Light Trucks,16627.615533808552
A,Reference,2042,Light Trucks,16278.637508555476
A,Reference,2043,Light Trucks,15940.56974873521
A,Reference,2044,Light Trucks,15612.908226846166
A,Reference,2045,Light Trucks,15295.179490957778
A,Reference,2046,Light Trucks,15001.465395584211
A,Reference,2047,Light Trucks,14716.623728260422
A,Reference,2048,Light Trucks,14440.258337042129
A,Reference,2049,Light Trucks,14171.996308243335
A,Reference,2050,Light Trucks,13911.486287119194
A,Reference,2025,Cars,20089.060404305288
A,Reference,2026,Cars,18188.365471355337
A,Reference,2027,Cars,16358.80557737764
A,Reference,2028,Cars,14595.87115098296
A,Reference,2029,Cars,12895.417604408356
A,Reference,2030,Cars,11253.629013002395
A,Reference,2031,Cars,10530.424914357094
A,Reference,2032,Cars,9841.427280673688
A,Reference,2033,Cars,9184.252552308417
A,Reference,2034,Cars,8556.73358572254
A,Reference,2035,Cars,7956.895636658505
A,Reference,2036,Cars,7575.526011740005
A,Reference,2037,Cars,7206.411809590819
A,Reference,2038,Cars,6848.961934586742
A,Reference,2039,Cars,6502.622686343872
A,Reference,2040,Cars,6166.8748485020105
A,Reference,2041,Cars,5952.388053161698
A,Reference,2042,Cars,5742.474791709728
A,Reference,2043,Cars,5536.989193148053
A,Reference,2044,Cars,5335.791524003216
A,Reference,2045,Cars,5138.747868890726
A,Reference,2046,Cars,4981.9527854077205
A,Reference,2047,Cars,4828.118003554484
A,Reference,2048,Cars,4677.159736494396
A,Reference,2049,Cars,4528.9973294265255
A,Reference,2050,Cars,4383.553114592291
A,Reference,2025,Scooters,12246.748405850842
A,Reference,2026,Scooters,12185.43586595618
A,Reference,2027,Scooters,12126.827241885261
A,Reference,2028,Scooters,12070.87870463733
A,Reference,2029,Scooters,12017.549939383585
A,Reference,2030,Scooters,11966.804049574837
A,Reference,2031,Scooters,11842.946704487302
A,Reference,2032,Scooters,11720.550691641707
A,Reference,2033,Scooters,11599.590300395032
A,Reference,2034,Scooters,11480.04041972421
A,Reference,2035,Scooters,11361.876520847187
A,Reference,2036,Scooters,11245.074640444895
A,Reference,2037,Scooters,11129.61136446003
