vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Conservative,Static,Reference,2040,0.4,0.18,0.1,0.4,7.439553655949999,1.4489425307750001,2.170519974,1.5113094894,303308.6128485811,25477.923479280817,16540.43984902968,8259.208424657534,5750.797143835617,359336.9817453848,57.344411644780585,46.03096435001665,30.139548018091048,31.79707545392947,21.777103466386894,187.08910293320466
Conservative,Static,Reference,2041,0.4,0.18,0.1,0.4,8.297963693174998,1.6547388602797275,2.273878068,1.695778147665,338305.76048495586,28417.683880736295,18889.713016891867,8652.504063926941,6452.732677568493,400718.39412407944,64.91370791269175,51.34222946732626,34.8252894751525,34.320689701973464,24.73373124000185,210.13564779714582
Conservative,Static,Reference,2042,0.4,0.18,0.1,0.4,9.11822217319,1.8651842032521815,2.3565645431999998,1.8869143477950001,371747.47933749185,31226.788264349318,21292.05711475093,8967.140575342464,7180.039375171234,440413.5046671058,72.48300418060295,56.41743835719991,39.79228846327504,36.84430395001745,27.944689766221828,233.48172471731715
Conservative,Static,Reference,2043,0.4,0.18,0.1,0.4,9.900329095995,2.0802785596923634,2.4185793996,2.08471808979,403633.76940618875,33905.236630119856,23747.47214260689,9203.11795890411,7932.717236643835,478422.31337446347,80.0523004485141,62.65582916507346,45.040544982458705,39.36791819806144,31.40997904504683,258.52657183915454
Conservative,Static,Reference,2044,0.4,0.18,0.1,0.4,10.644284461589999,2.300021929600273,2.4599226371999996,2.28918937365,433964.6306910468,36453.028978047936,26255.958100459735,9360.436214611871,8710.766261986302,514744.82024615264,87.62159671642524,69.01542853453734,50.57005903270346,41.89153244610542,35.129599076476865,284.22821580624833
Conservative,Static,Reference,2045,0.4,0.18,0.1,0.4,11.350088269974998,2.52441431297591,2.4805942559999994,2.500328199375,462740.06319206604,38870.16530813355,28817.51498830947,9439.095342465751,9514.18645119863,549381.0252821735,95.19089298433643,75.37502790400121,56.38083061400933,44.41514669414941,39.10354986051192,310.4654480570083
Conservative,Static,Reference,2046,0.4,0.18,0.1,0.4,12.01774052115,2.7534557098192725,2.4805942559999994,2.7181345669650003,489960.06690924655,41156.64562037671,31432.14280615608,9439.095342465751,10342.977804280823,582330.928482526,102.90554407209736,81.85265538718308,62.47285972637627,46.64306941486123,43.33183139715201,337.20595999766994
Conservative,Static,Reference,2047,0.4,0.18,0.1,0.4,12.628165436509999,2.987146120130364,2.4805942559999994,2.9426084764200002,514846.9274506686,43247.14190585616,34099.84155399959,9439.095342465751,11197.140321232877,612830.146574223,110.62019515985828,88.33028287036494,68.84614636980433,48.87099213557305,47.814443686397105,364.4820602219977
Conservative,Static,Reference,2048,0.4,0.18,0.1,0.4,13.181363016054998,3.225485543909182,2.4805942559999994,3.1737499277400003,537400.6448163323,45141.65416457191,36820.611231839976,9439.095342465751,12076.674002054795,640878.6795572648,118.33484624761918,94.80791035354682,75.50069054429348,51.098914856284864,52.551386728247245,392.2937487299916
Conservative,Static,Reference,2049,0.4,0.18,0.1,0.4,13.677333259785,3.4684739811557277,2.4805942559999994,3.411558920925,557621.2190062377,46840.18239652397,39594.45183967726,9439.095342465751,12981.578846746575,666476.5274316514,126.0494973353801,101.28553783672868,82.43649224984375,53.32683757699668,57.5426605227024,420.64102552165167
